Starting program. 11 functions registered.
ERROR!!!!  the results for the 8th function are different to the previous

Running: Slow Performance
N: 5000, perf: 1.984725
N: 10000, perf: 1.985913
N: 15000, perf: 1.985898
N: 20000, perf: 1.985790
N: 25000, perf: 1.985508
N: 30000, perf: 1.985562
N: 35000, perf: 1.985395
N: 40000, perf: 1.985420
N: 45000, perf: 1.983064
N: 50000, perf: 1.985888
N: 55000, perf: 1.985764
N: 60000, perf: 1.985819
N: 65000, perf: 1.985435
N: 70000, perf: 1.986225
N: 75000, perf: 1.985959
N: 80000, perf: 1.986048
N: 85000, perf: 1.986205
N: 90000, perf: 1.986193
N: 95000, perf: 1.985915
N: 100000, perf: 1.986106
N: 105000, perf: 1.986081
N: 110000, perf: 1.985800
N: 115000, perf: 1.986247
N: 120000, perf: 1.986071
1.98607 flops per cycle

Running: Slow Performance2
N: 5000, perf: 1.593474
N: 10000, perf: 1.594233
N: 15000, perf: 1.593788
N: 20000, perf: 1.592862
N: 25000, perf: 1.593023
N: 30000, perf: 1.593121
N: 35000, perf: 1.593251
N: 40000, perf: 1.593247
N: 45000, perf: 1.593404
N: 50000, perf: 1.593528
N: 55000, perf: 1.593613
N: 60000, perf: 1.593489
N: 65000, perf: 1.593577
N: 70000, perf: 1.593580
N: 75000, perf: 1.593531
N: 80000, perf: 1.593730
N: 85000, perf: 1.593416
N: 90000, perf: 1.593640
N: 95000, perf: 1.593727
N: 100000, perf: 1.593190
N: 105000, perf: 1.593853
N: 110000, perf: 1.593783
N: 115000, perf: 1.593875
N: 120000, perf: 1.592348
1.59235 flops per cycle

Running: Slow Performance3
N: 5000, perf: 1.597120
N: 10000, perf: 1.596540
N: 15000, perf: 1.597467
N: 20000, perf: 1.597038
N: 25000, perf: 1.596589
N: 30000, perf: 1.596867
N: 35000, perf: 1.596583
N: 40000, perf: 1.597843
N: 45000, perf: 1.597888
N: 50000, perf: 1.597944
N: 55000, perf: 1.596831
N: 60000, perf: 1.598378
N: 65000, perf: 1.598263
N: 70000, perf: 1.598212
N: 75000, perf: 1.598177
N: 80000, perf: 1.596753
N: 85000, perf: 1.597844
N: 90000, perf: 1.598226
N: 95000, perf: 1.596121
N: 100000, perf: 1.598220
N: 105000, perf: 1.598200
N: 110000, perf: 1.598096
N: 115000, perf: 1.598274
N: 120000, perf: 1.598477
1.59848 flops per cycle

Running: reversed
N: 5000, perf: 0.625121
N: 10000, perf: 0.618008
N: 15000, perf: 0.615268
N: 20000, perf: 0.614123
N: 25000, perf: 0.613286
N: 30000, perf: 0.612954
N: 35000, perf: 0.612397
N: 40000, perf: 0.612117
N: 45000, perf: 0.611812
N: 50000, perf: 0.611531
N: 55000, perf: 0.611194
N: 60000, perf: 0.610885
N: 65000, perf: 0.610513
N: 70000, perf: 0.610248
N: 75000, perf: 0.609835
N: 80000, perf: 0.609593
N: 85000, perf: 0.609592
N: 90000, perf: 0.609306
N: 95000, perf: 0.609092
N: 100000, perf: 0.609247
N: 105000, perf: 0.608599
N: 110000, perf: 0.608361
N: 115000, perf: 0.607696
N: 120000, perf: 0.607798
0.607798 flops per cycle

Running: reversed2
N: 5000, perf: 1.473616
N: 10000, perf: 1.438030
N: 15000, perf: 1.408670
N: 20000, perf: 1.419545
N: 25000, perf: 1.407739
N: 30000, perf: 1.419963
N: 35000, perf: 1.406184
N: 40000, perf: 1.402996
N: 45000, perf: 1.402403
N: 50000, perf: 1.414060
N: 55000, perf: 1.402156
N: 60000, perf: 1.410418
N: 65000, perf: 1.402792
N: 70000, perf: 1.409877
N: 75000, perf: 1.402422
N: 80000, perf: 1.400767
N: 85000, perf: 1.400761
N: 90000, perf: 1.397024
N: 95000, perf: 1.397807
N: 100000, perf: 1.402221
N: 105000, perf: 1.391119
N: 110000, perf: 1.397658
N: 115000, perf: 1.392005
N: 120000, perf: 1.384531
1.38453 flops per cycle

Running: reversed3
N: 5000, perf: 1.199063
N: 10000, perf: 1.172034
N: 15000, perf: 1.164771
N: 20000, perf: 1.159728
N: 25000, perf: 1.156366
N: 30000, perf: 1.154697
N: 35000, perf: 1.155538
N: 40000, perf: 1.154709
N: 45000, perf: 1.154936
N: 50000, perf: 1.153141
N: 55000, perf: 1.152176
N: 60000, perf: 1.153440
N: 65000, perf: 1.152156
N: 70000, perf: 1.152401
N: 75000, perf: 1.153466
N: 80000, perf: 1.151856
N: 85000, perf: 1.150668
